"Equipment","Description","Status"
"26-0946","300 bbl water tank","inactive"
"26-0947","300 bbl water tank","inactive"
"26-0948","300 bbl water tank","inactive"
"26-0949","Logan 85 Ton Power Swivel","inactive"
"26-0951","Circulating Tank","inactive"
"26-1808","200 BBL Mud Tank","inactive"
"26-1809","Doghouse","inactive"
"26-1810","2008 Stanton Dymatic Doghouse","inactive"
"26-1811","12000# Open Top Mud Tank","inactive"
"26-1812","Hydraulic Chain Tongs","inactive"
"26-1813","Hydraulic Chain Tongs","inactive"
"26-1814","EVCO Power Swivel","inactive"
"26-1815","Scorpion Hydraulic Tong","inactive"
"26-1816","Shop Built Mud Tank","inactive"
"26-1817","SK Derrick Rig 212","inactive"
"26-1818","SK Derrick Rig 213","inactive"
"26-1819","SK Derrick Rig 214","inactive"
"26-1820","SK Derrick Rig 215","inactive"
"26-1821","SK Derrick Rig 220","inactive"
"26-1822","SK Derrick Rig 221","inactive"
"26-0952","Dual Compartment mud Tank","inactive"
"26-0953","Dual Compartment mud Tank","inactive"
"26-0954","King Swivel Rig 212","inactive"
"26-0955","King Swivel Rig 213","inactive"
"26-0956","King Swivel Rig 214","inactive"
"26-0957","King Swivel Rig 215","inactive"
"26-0958","King Swivel Rig 220","inactive"
"26-0959","King Swivel Rig 221","inactive"
"26-0960","King Swivel Rig 234","inactive"
"26-0961","King Swivel Rig 237","inactive"
"26-0962","Tulsa TT560 Well Service Pump","inactive"
"26-0963","2007 Tulsa 560 Pump","inactive"
"26-0964","Tulsa Triplex Pump","inactive"
"26-0965","IDECO UTB110 Traveling Block","inactive"
"26-0966","Baoji F-1000 Mud Pump","inactive"
"26-1823","SK Derrick Rig 247","inactive"
"26-1824","SK Derrick Spare","inactive"
"26-1825","Sub Structure Rig 238","inactive"
"26-1826","Engine PKG S60-500","inactive"
"26-1827","Engine PKG S60-500","inactive"
"26-1828","Block 82A Sheave","inactive"
"26-1829","Block 82A Sheave","inactive"
"26-1830","BDW 17-1/2 Rotary Table","inactive"
"26-1831","BDW 17-1/2 Rotary Table","inactive"
"26-1840","2012 Trailer Mounted Power Swivel","inactive"
"26-1841","4 - Station Closing Unit","inactive"
"26-1844","Multiquip 45KW Generator","inactive"
"26-1845","Multiquip 45KW Generator","inactive"
"26-1846","Multiquip 45KW Generator","inactive"
"26-1847","Multiquip 45KW Generator","inactive"
"26-0968","Twister Rotary Table","inactive"
"26-0969","Rotary Table w/ Master Bushing","inactive"
"26-0971","Sub Structure Rig 212","inactive"
"26-0973","Green Rotary Table","inactive"
"26-0974","Mud Pump","inactive"
"26-0975","Mud Pump","inactive"
"26-0976","Mud Pump","inactive"
"26-0977","Mud Tank","inactive"
"26-0978","Tulsa TT-560 Triplex Pump","inactive"
"26-0979","Tulsa TT-550 Triplex Pump","inactive"
"26-0980","Tulsa TT560 Pump","inactive"
"26-0981","Tulsa TT560 Pump","inactive"
"26-0982","Tulsa TT560 Pump","inactive"
"26-1021","2009 Mack Winch Tractor","inactive"
"26-1037","2015 Ram 2500","inactive"
"26-1849","3.500 OD 2 Blade Cutter","inactive"
"26-1850","Ideco 175F Rotary Table","inactive"
"26-1851","CDE Iron Rough Neck 01","inactive"
"26-1852","BRS2C Boring Tool","inactive"
"26-1853","LWS 7-1/16"" 5000# Dbl Blowout Preventer","inactive"
"26-1854","Eckel Power Tongs","inactive"
"26-1855","2021 Yamaha Wolv X 4","inactive"
"26-1857","Cement Portable Silo","inactive"
"26-1858","Cement Portable Silo","inactive"
"26-1859","Cement Portable Silo","inactive"
"26-1860","Cement Portable Silo","inactive"
"26-1861","Cement Portable Silo","inactive"
"26-1862","Cement Portable Silo","inactive"
"26-1863","3.5 Power Swivel","inactive"
"26-1864","Cement Silo","inactive"
"26-1056","Freightliner Water Truck","inactive"
"26-1058","2017 Ram 2500","inactive"
"26-1063","2017 Chevy Silverado 2500","inactive"
"26-1079","2018 Chevrolet Silverado 2500","inactive"
"26-1082","2018 Chevrolet Silverado 2500","inactive"
"26-1083","2018 Chevrolet Silverado 2500","inactive"
"26-1088","2018 Chevrolet Silverado 2500","inactive"
"26-1095","2018 Chevrolet Silverado 2500","inactive"
"26-1096","2018 Chevrolet Silverado 2500","inactive"
"26-1101","2018 Chevrolet Silverado 2500","inactive"
"26-1104","2018 Dodge Ram 5500","inactive"
